url,count
http://blogs.myspace.com,1749657
http://seattle.craigslist.org,835295
http://sfbay.craigslist.org,770161
http://chicago.craigslist.org,749446
http://losangeles.craigslist.org,683297
http://newyork.craigslist.org,648543
http://sandiego.craigslist.org,641811
http://boston.craigslist.org,595109
http://miami.craigslist.org,588813
http://ameblo.jp,537070
http://blog.myspace.com,482357
http://ar.answers.yahoo.com,425272
http://mx.answers.yahoo.com,424425
http://washingtondc.craigslist.org,368734
http://it.answers.yahoo.com,365256
http://rss.feedsportal.com,350708
http://fr.answers.yahoo.com,348014
http://sportsnipe.com,347479
http://us.rd.yahoo.com,325564
http://startribune.com,272456
http://rover.ebay.com,259468
http://news.com.au,239509
http://golivewire.com,225887
http://de.answers.yahoo.com,223404
http://pr-inside.com,215277
http://news.bbc.co.uk,205135
http://ca.answers.yahoo.com,204773
http://citeulike.org,186418
http://slideshare.net,184405
http://plaza.rakuten.co.jp,183486
http://chambliss.senate.gov,179153
http://philly.com,177666
http://forums.hardwarezone.com,176608
http://g1.globo.com,173925
http://torrentportal.com,171264
http://wassr.jp,170523
http://wordle.net,158582
http://fixya.com,155572
http://times-journal.com,151018
http://fr.news.yahoo.com,139582
http://news.google.cl,139497
http://answers.polldaddy.com,139299
http://baycitytribune.com,138121
http://articlesbase.com,136042
http://guardian.co.uk,134192
http://forums.seroundtable.com,132427
http://forum.gateworld.net,131592
http://answerbag.com,127840
http://groups.google.com,127710
http://blog.livedoor.jp,127222
http://sulit.com.ph,127131
http://newsmeat.com,122615
http://identi.ca,122078
http://pescurt.ro,121567
http://yelp.com,121431
http://informedtrades.com,112565
http://amazon.com,111119
http://forums.mozillazine.org,110191
http://rainsvilleweeklypost.com,107671
http://washingtonpost.com,106695
http://martinez.senate.gov,105157
http://prnewswire.com,101778
http://sitepoint.com,101076
http://scouty.de,99896
http://seguingazette.com,99555
http://mousepad.mouseplanet.com,98824
http://neighbors.denverpost.com,98365
http://vmware.simplefeed.net,97932
http://uk.news.yahoo.com,97907
http://ratemydrawings.com,97759
http://thefacts.com,93912
http://digitalspy.co.uk,93216
http://palgn.com.au,92412
http://newsticker.welt.de,91034
http://news.google.com,90852
http://uncyclopedia.wikia.com,90439
http://nydailynews.com,88725
http://forums.slickdeals.net,88284
http://macobserver.com,87786
http://franchisewire.com,87524
http://freerepublic.com,83409
http://boston.com,82324
http://bizjournals.com,80238
http://getafreelancer.com,79913
http://sandmountainreporter.com,78172
http://news.chosun.com,78125
http://bertelsmann-stiftung.de,76900
http://organizedwisdom.com,76887
http://twitter.com,75470
http://ultimosegundo.ig.com.br,74765
http://friendstertalk.com,74499
http://reuters.com,74464
http://huffingtonpost.com,74129
http://envirolink.org,74060
http://globoesporte.globo.com,73035
http://audiko.net,72487
http://forbes.com,72291
http://breitbart.com,70887
http://answers.yahoo.com,70875
http://in.news.yahoo.com,68721
